ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_code,code,Code for pack device.,,,,,,,An identification code associated with the Pack Device in the 'Pack Device' dataset.,Een code gekoppeld aan het Pack Device binnen de dataset 'Pack Device'.,?,Un code d'identification associé au Pack Device dans l'ensemble de données 'Pack Device'.,,,,,,,,,,,,,Number,No,No
ID_createdDate,createdDate,Date of creation for the Pack Device entry.,,,,,,,The date when a pack device entry was originally created or added to the 'Pack Device' dataset.,De datum waarop een vermelding voor een Pack Device oorspronkelijk is aangemaakt of toegevoegd aan de dataset 'Pack Device'.,?,La date à laquelle une entrée de Pack Device a été initialement créée ou ajoutée à l'ensemble de données 'Pack Device'.,,,,,,,,,,,,,Date,No,No
ID_de,de,Pack device description,,,,,,,"The description or name of product present as a ""device"" in the pack.  These device is a category of product which include materials that are not the direct product/Active substance (Bandage, needles, etc,.). The name is given here in German within the 'Pack Device' dataset.","De beschrijving of naam van het product dat als ""hulpmiddel"" aanwezig is in de verpakking.  Dit hulpmiddel is een productcategorie die materialen bevat die niet het directe product/de werkzame stof zijn (verband, naalden, enz.). De naam wordt hier in het Duits gegeven in de dataset ""Pack Device"".",?,"La description ou le nom du produit présent en tant que ""dispositif"" dans l'emballage.  Ce dispositif est une catégorie de produit qui comprend des matériaux qui ne sont pas le produit direct/la substance active (bandage, aiguilles, etc.). Le nom est donné ici en allemand dans l'ensemble de données ""Pack Device"".",,,,,,,,,,,,,String,No,No
ID_deprecated,deprecated,Deprecated indicator for the pack device.,,,,,,,A binary flag indicating whether a pack device is deprecated or no longer recommended for use.,Een binaire indicator die aangeeft of het item in de dataset van het verpakkingsapparaat verouderd is of niet langer wordt aanbevolen voor gebruik.,?,Un indicateur binaire indiquant si l'entrée dans le jeu de donnée sur les dispositifs d'emballage est obsolète ou n'est plus recommandé pour une utilisation.,,,,,,,,,,,,,Boolean,No,No
ID_edqmCode,edqmCode,EDQM code for the pack device.,,,,,,,Code for the pack device defined by European Directorate for the Quality of Medicines & HealthCare within the 'Pack Device' dataset.,Code voor het Pack Device gedefinieerd door de Europese Directie voor de Kwaliteit van Geneesmiddelen & Gezondheidszorg (EDQM) binnen de dataset 'Pack Device'.,?,Code du Pack Device défini par la Direction européenne de la qualité des médicaments et des soins de santé (EDQM) au sein de l'ensemble de données 'Pack Device'.,,,,,,,,,,,,,Number,No,No
ID_edqmDefinition,edqmDefinition,EDQM definition for the pack device.,,,,,,,Definition for the pack device by European Directorate for the Quality of Medicines & HealthCare within the 'Pack Device' dataset.,Definitie van het Pack Device door de Europese Directie voor de Kwaliteit van Geneesmiddelen & Gezondheidszorg (EDQM) binnen de dataset 'Pack Device'.,?,Définition du Pack Device par la Direction européenne de la qualité des médicaments et des soins de santé (EDQM) au sein de l'ensemble de données 'Pack Device'.,,,,,,,,,,,,,String,No,No
ID_en,en,Pack device description,,,,,,,"The description or name of product present as a ""device"" in the pack.  These device is a category of product which include materials that are not the direct product/Active substance (Bandage, needles, etc,.). The name is given here in English within the 'Pack Device' dataset.","De beschrijving of naam van het product dat als ""hulpmiddel"" in de verpakking zit.  Deze hulpmiddelen zijn een categorie producten die materialen bevatten die niet het directe product/de werkzame stof zijn (verband, naalden, enz.). De naam wordt hier in het Engels gegeven in de dataset ""Pack Device"".",?,"La description ou le nom du produit présent en tant que ""dispositif"" dans l'emballage.  Ce dispositif est une catégorie de produit qui comprend des matériaux qui ne sont pas le produit direct/la substance active (bandage, aiguilles, etc.). Le nom est donné ici en anglais dans l'ensemble de données ""Pack Device"".",,,,,,,,,,,,,String,No,No
ID_fr,fr,Pack device description,,,,,,,"The description or name of product present as a ""device"" in the pack.  These device is a category of product which include materials that are not the direct product/Active substance (Bandage, needles, etc,.). The name is given here in Frans within the 'Pack Device' dataset.","cDe naam wordt hier gegeven in Fwithin de 'Pack Device' dataset.De naam wordt hier gegeven in Frwithin de 'Pack Device' dataset.De naam wordt hier in het Frans gegeven in de dataset ""Pack Device"".De naam wordt hier in het Frans gegeven in de dataset 'Pack Device'.",?,"La description ou le nom du produit présent en tant que ""dispositif"" dans l'emballage.  Ce dispositif est une catégorie de produit qui comprend des matériaux qui ne sont pas le produit direct/la substance active (bandage, aiguilles, etc.). Le nom est donné ici en francais dans l'ensemble de données 'Pack Device'.",,,,,,,,,,,,,String,No,No
ID_id,id,Unique numerical identifier within the dataset 'Pack Device'.,,,,,,,A unique numerical identifier associated with an entry in the 'Pack Device' dataset .,Een unieke numerieke identificatie gekoppeld aan een vermelding in de dataset 'Pack Device' .,?,Un identifiant numérique unique associé à une entrée dans l'ensemble de données 'Pack Device' .,,,,,,,,,,,,,String,No,No
ID_lastModifiedDate,lastModifiedDate,Latest modification timestamp for pack device entry.,,,,,,,"The date when a pack device entry was last modified or updated in the 'Pack Device' dataset, indicating the most recent changes.","De datum waarop een vermelding voor een Pack Device voor het laatst is gewijzigd of bijgewerkt in de dataset 'Pack Device', waarbij de meest recente wijzigingen worden aangegeven.",?,"La date à laquelle une entrée de Pack Device a été modifiée ou mise à jour pour la dernière fois dans l'ensemble de données 'Pack Device', indiquant les modifications les plus récentes.",,,,,,,,,,,,,Date,No,No
